freq : 100.00 MHz
SWR : 1.965000
 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
75 	 315 	 -300.0     	   1e-30     	    -55.30574
75 	 330 	 -300.0     	   1e-30     	    -55.25615
75 	 345 	 -300.0     	   1e-30     	    -55.20991
75 	 360 	 -300.0     	   1e-30     	    -55.17018
90 	 0 	 -300.0     	   1e-30     	    -55.16465
90 	 15 	 -300.0     	   1e-30     	    -55.13519
90 	 30 	 -300.0     	   1e-30     	    -55.11667
90 	 45 	 -300.0     	   1e-30     	    -55.11036
90 	 60 	 -300.0     	   1e-30     	    -55.1167
90 	 75 	 -300.0     	   1e-30     	    -55.13524
90 	 90 	 -300.0     	   1e-30     	    -55.16474
90 	 105 	 -300.0     	   1e-30     	    -55.20316
90 	 120 	 -300.0     	   1e-30     	    -55.24791
90 	 135 	 -300.0     	   1e-30     	    -55.29594
90 	 150 	 -300.0     	   1e-30     	    -55.34395
